SampleID,Horvath,Hannum,PhenoAge
TCGA.BH.A0DS.01A.11D.A10P.05,77.47024854,94.62027952,135.2354131
TCGA.AO.A0JJ.01A.11D.A10P.05,112.5838489,116.1602207,112.4293041
TCGA.A2.A4S1.01A.21D.A268.05,43.87658111,60.97132817,87.69618603
TCGA.A2.A0YE.01A.11D.A10A.05,25.31437973,26.48053905,51.6824508
TCGA.S3.A6ZG.01A.22D.A32T.05,106.834903,107.3105883,144.629218
TCGA.BH.A0HF.01A.11D.A10P.05,62.84171163,77.07756697,73.3742184
TCGA.GM.A2D9.01A.11D.A18O.05,69.9403905,57.55917153,83.8661565
TCGA.D8.A1JE.01A.11D.A13K.05,91.71802579,103.6365079,90.98791154
TCGA.AC.A7VB.01A.11D.A357.05,107.5018211,155.771407,249.7840493
TCGA.BH.A0B8.01A.21D.A10P.05,77.08352165,104.9473447,87.75785053
TCGA.D8.A1JK.01A.11D.A13K.05,56.95698783,59.83551405,59.00392762
TCGA.A7.A426.01A.22D.A244.05,82.08573044,75.38410286,73.20530797
TCGA.AR.A24R.01A.11D.A16A.05,52.54541619,77.74815327,102.5899762
TCGA.AR.A24O.01A.11D.A16A.05,57.45934757,58.46537825,50.10255803
TCGA.E2.A1LH.01A.11D.A14H.05,61.1330822,63.87402354,39.60751205
TCGA.A2.A0T0.01A.22D.A10P.05,41.13913093,41.79551936,41.57084016
TCGA.BH.A0AU.01A.11D.A12R.05,50.77854589,47.10196823,29.37129511
TCGA.E9.A1NE.01A.21D.A14N.05,55.31848982,42.7521851,47.76067599
TCGA.AC.A8OQ.01A.11D.A41Q.05,61.93673239,66.78637376,74.33961539
TCGA.AR.A24N.01A.11D.A16A.05,114.5794288,107.4910966,176.7871216
TCGA.A8.A0AD.01A.11D.A10P.05,95.36441592,79.57773026,125.0445104
TCGA.BH.A0HK.01A.11D.A10P.05,170.3835328,141.8705759,207.7300752
